embedding_row,article_id
0,ART0001
1,ART0002
2,ART0003
3,ART0004
4,ART0005
5,ART0006
6,ART0007
7,ART0008
8,ART0009
9,ART0010
10,ART0011
11,ART0012
12,ART0013
13,ART0014
14,ART0015
15,ART0016
16,ART0017
17,ART0018
18,ART0019
19,ART0020
20,ART0021
21,ART0022
22,ART0023
23,ART0024
24,ART0025
25,ART0026
26,ART0027
27,ART0028
28,ART0029
29,ART0030
30,ART0031
31,ART0032
32,ART0033
33,ART0034
34,ART0035
35,ART0036
36,ART0037
37,ART0038
38,ART0039
39,ART0040
40,ART0041
41,ART0042
42,ART0043
43,ART0044
44,ART0045
45,ART0046
46,ART0047
47,ART0048
48,ART0049
49,ART0050
50,ART0051
51,ART0052
52,ART0053
53,ART0054
54,ART0055
55,ART0056
56,ART0057
57,ART0058
58,ART0059
59,ART0060
60,ART0061
61,ART0062
62,ART0063
63,ART0064
64,ART0065
65,ART0066
66,ART0067
67,ART0068
68,ART0069
69,ART0070
70,ART0071
71,ART0072
72,ART0073
73,ART0074
74,ART0075
75,ART0076
76,ART0077
77,ART0078
78,ART0079
79,ART0080
80,ART0081
81,ART0082
82,ART0083
83,ART0084
84,ART0085
85,ART0086
86,ART0087
87,ART0088
88,ART0089
89,ART0090
90,ART0091
91,ART0092
92,ART0093
93,ART0094
94,ART0095
95,ART0096
96,ART0097
97,ART0098
98,ART0099
99,ART0100
100,ART0101
101,ART0102
102,ART0103
103,ART0104
104,ART0105
105,ART0106
106,ART0107
107,ART0108
108,ART0109
109,ART0110
110,ART0111
111,ART0112
112,ART0113
113,ART0114
114,ART0115
115,ART0116
116,ART0117
117,ART0118
118,ART0119
119,ART0120
120,ART0121
121,ART0122
122,ART0123
123,ART0124
124,ART0125
125,ART0126
126,ART0127
127,ART0128
128,ART0129
129,ART0130
130,ART0131
131,ART0132
132,ART0133
133,ART0134
134,ART0135
135,ART0136
136,ART0137
137,ART0138
138,ART0139
139,ART0140
140,ART0141
141,ART0142
142,ART0143
143,ART0144
144,ART0145
145,ART0146
146,ART0147
147,ART0148
148,ART0149
149,ART0150
150,ART0151
151,ART0152
152,ART0153
153,ART0154
154,ART0155
155,ART0156
156,ART0157
157,ART0158
158,ART0159
159,ART0160
160,ART0161
161,ART0162
162,ART0163
163,ART0164
164,ART0165
165,ART0166
166,ART0167
167,ART0168
168,ART0169
169,ART0170
170,ART0171
171,ART0172
172,ART0173
173,ART0174
174,ART0175
175,ART0176
176,ART0177
177,ART0178
178,ART0179
179,ART0180
180,ART0181
181,ART0182
182,ART0183
183,ART0184
184,ART0185
185,ART0186
186,ART0187
187,ART0188
188,ART0189
189,ART0190
190,ART0191
191,ART0192
192,ART0193
193,ART0194
194,ART0195
195,ART0196
196,ART0197
197,ART0198
198,ART0199
199,ART0200
200,ART0201
201,ART0202
202,ART0203
203,ART0204
204,ART0205
205,ART0206
206,ART0207
207,ART0208
208,ART0209
209,ART0210
210,ART0211
211,ART0212
212,ART0213
213,ART0214
214,ART0215
215,ART0216
216,ART0217
217,ART0218
218,ART0219
219,ART0220
220,ART0221
221,ART0222
222,ART0223
223,ART0224
224,ART0225
225,ART0226
226,ART0227
227,ART0228
228,ART0229
229,ART0230
230,ART0231
231,ART0232
232,ART0233
233,ART0234
234,ART0235
235,ART0236
236,ART0237
237,ART0238
238,ART0239
239,ART0240
240,ART0241
241,ART0242
242,ART0243
243,ART0244
244,ART0245
245,ART0246
246,ART0247
247,ART0248
248,ART0249
249,ART0250
250,ART0251
251,ART0252
252,ART0253
253,ART0254
254,ART0255
255,ART0256
256,ART0257
257,ART0258
258,ART0259
259,ART0260
260,ART0261
261,ART0262
262,ART0263
263,ART0264
264,ART0265
265,ART0266
266,ART0267
267,ART0268
268,ART0269
269,ART0270
270,ART0271
271,ART0272
272,ART0273
273,ART0274
274,ART0275
275,ART0276
276,ART0277
277,ART0278
278,ART0279
279,ART0280
280,ART0281
281,ART0282
282,ART0283
283,ART0284
284,ART0285
285,ART0286
286,ART0287
287,ART0288
288,ART0289
289,ART0290
290,ART0291
291,ART0292
292,ART0293
293,ART0294
294,ART0295
295,ART0296
296,ART0297
297,ART0298
298,ART0299
299,ART0300
300,ART0301
301,ART0302
302,ART0303
303,ART0304
304,ART0305
305,ART0306
306,ART0307
307,ART0308
308,ART0309
309,ART0310
310,ART0311
311,ART0312
312,ART0313
313,ART0314
314,ART0315
315,ART0316
316,ART0317
317,ART0318
318,ART0319
319,ART0320
320,ART0321
321,ART0322
322,ART0323
323,ART0324
324,ART0325
325,ART0326
326,ART0327
327,ART0328
328,ART0329
329,ART0330
330,ART0331
331,ART0332
332,ART0333
333,ART0334
334,ART0335
335,ART0336
336,ART0337
337,ART0338
338,ART0339
339,ART0340
340,ART0341
341,ART0342
342,ART0343
343,ART0344
344,ART0345
345,ART0346
346,ART0347
347,ART0348
348,ART0349
349,ART0350
350,ART0351
351,ART0352
352,ART0353
353,ART0354
354,ART0355
355,ART0356
356,ART0357
357,ART0358
358,ART0359
359,ART0360
360,ART0361
361,ART0362
362,ART0363
363,ART0364
364,ART0365
365,ART0366
366,ART0367
367,ART0368
368,ART0369
369,ART0370
370,ART0371
371,ART0372
372,ART0373
373,ART0374
374,ART0375
375,ART0376
376,ART0377
377,ART0378
378,ART0379
379,ART0380
380,ART0381
381,ART0382
382,ART0383
383,ART0384
384,ART0385
385,ART0386
386,ART0387
387,ART0388
388,ART0389
389,ART0390
390,ART0391
391,ART0392
392,ART0393
393,ART0394
394,ART0395
395,ART0396
396,ART0397
397,ART0398
398,ART0399
399,ART0400
400,ART0401
401,ART0402
402,ART0403
403,ART0404
404,ART0405
405,ART0406
406,ART0407
407,ART0408
408,ART0409
409,ART0410
410,ART0411
411,ART0412
412,ART0413
413,ART0414
414,ART0415
415,ART0416
416,ART0417
417,ART0418
418,ART0419
419,ART0420
420,ART0421
421,ART0422
422,ART0423
423,ART0424
424,ART0425
425,ART0426
426,ART0427
427,ART0428
428,ART0429
429,ART0430
430,ART0431
431,ART0432
432,ART0433
433,ART0434
434,ART0435
435,ART0436
436,ART0437
437,ART0438
438,ART0439
439,ART0440
440,ART0441
441,ART0442
442,ART0443
443,ART0444
444,ART0445
445,ART0446
446,ART0447
447,ART0448
448,ART0449
449,ART0450
450,ART0451
451,ART0452
452,ART0453
453,ART0454
454,ART0455
455,ART0456
456,ART0457
457,ART0458
458,ART0459
459,ART0460
460,ART0461
461,ART0462
462,ART0463
463,ART0464
464,ART0465
465,ART0466
466,ART0467
467,ART0468
468,ART0469
469,ART0470
470,ART0471
471,ART0472
472,ART0473
473,ART0474
474,ART0475
475,ART0476
476,ART0477
477,ART0478
478,ART0479
479,ART0480
480,ART0481
481,ART0482
482,ART0483
483,ART0484
484,ART0485
485,ART0486
486,ART0487
487,ART0488
488,ART0489
489,ART0490
490,ART0491
491,ART0492
492,ART0493
493,ART0494
494,ART0495
495,ART0496
496,ART0497
497,ART0498
498,ART0499
499,ART0500
500,ART0501
501,ART0502
502,ART0503
503,ART0504
504,ART0505
505,ART0506
506,ART0507
507,ART0508
508,ART0509
509,ART0510
510,ART0511
511,ART0512
512,ART0513
513,ART0514
514,ART0515
515,ART0516
516,ART0517
517,ART0518
518,ART0519
519,ART0520
520,ART0521
521,ART0522
522,ART0523
523,ART0524
524,ART0525
525,ART0526
526,ART0527
527,ART0528
528,ART0529
529,ART0530
530,ART0531
531,ART0532
532,ART0533
533,ART0534
534,ART0535
535,ART0536
536,ART0537
537,ART0538
538,ART0539
539,ART0540
540,ART0541
541,ART0542
542,ART0543
543,ART0544
544,ART0545
545,ART0546
546,ART0547
547,ART0548
548,ART0549
549,ART0550
550,ART0551
551,ART0552
552,ART0553
553,ART0554
554,ART0555
555,ART0556
556,ART0557
557,ART0558
558,ART0559
559,ART0560
560,ART0561
561,ART0562
562,ART0563
563,ART0564
564,ART0565
565,ART0566
566,ART0567
567,ART0568
568,ART0569
569,ART0570
570,ART0571
571,ART0572
572,ART0573
573,ART0574
574,ART0575
575,ART0576
576,ART0577
577,ART0578
578,ART0579
579,ART0580
580,ART0581
581,ART0582
582,ART0583
583,ART0584
584,ART0585
585,ART0586
586,ART0587
587,ART0588
588,ART0589
589,ART0590
590,ART0591
591,ART0592
592,ART0593
593,ART0594
594,ART0595
595,ART0596
596,ART0597
597,ART0598
598,ART0599
599,ART0600
600,ART0601
601,ART0602
602,ART0603
603,ART0604
604,ART0605
605,ART0606
606,ART0607
607,ART0608
608,ART0609
609,ART0610
610,ART0611
611,ART0612
612,ART0613
613,ART0614
614,ART0615
615,ART0616
616,ART0617
617,ART0618
618,ART0619
619,ART0620
620,ART0621
621,ART0622
622,ART0623
623,ART0624
624,ART0625
625,ART0626
626,ART0627
627,ART0628
628,ART0629
629,ART0630
630,ART0631
631,ART0632
632,ART0633
633,ART0634
634,ART0635
635,ART0636
636,ART0637
637,ART0638
638,ART0639
639,ART0640
640,ART0641
641,ART0642
642,ART0643
643,ART0644
644,ART0645
645,ART0646
646,ART0647
647,ART0648
648,ART0649
649,ART0650
650,ART0651
651,ART0652
652,ART0653
653,ART0654
654,ART0655
655,ART0656
656,ART0657
657,ART0658
658,ART0659
659,ART0660
660,ART0661
661,ART0662
662,ART0663
663,ART0664
664,ART0665
665,ART0666
666,ART0667
667,ART0668
668,ART0669
669,ART0670
670,ART0671
671,ART0672
672,ART0673
673,ART0674
674,ART0675
675,ART0676
676,ART0677
677,ART0678
678,ART0679
679,ART0680
680,ART0681
681,ART0682
682,ART0683
683,ART0684
684,ART0685
685,ART0686
686,ART0687
687,ART0688
688,ART0689
689,ART0690
690,ART0691
691,ART0692
692,ART0693
693,ART0694
694,ART0695
695,ART0696
696,ART0697
697,ART0698
698,ART0699
699,ART0700
700,ART0701
701,ART0702
702,ART0703
703,ART0704
704,ART0705
705,ART0706
706,ART0707
707,ART0708
708,ART0709
709,ART0710
710,ART0711
711,ART0712
712,ART0713
713,ART0714
714,ART0715
715,ART0716
716,ART0717
717,ART0718
718,ART0719
719,ART0720
720,ART0721
721,ART0722
722,ART0723
723,ART0724
724,ART0725
725,ART0726
726,ART0727
727,ART0728
728,ART0729
729,ART0730
730,ART0731
731,ART0732
732,ART0733
733,ART0734
734,ART0735
735,ART0736
736,ART0737
737,ART0738
738,ART0739
739,ART0740
740,ART0741
741,ART0742
742,ART0743
743,ART0744
744,ART0745
745,ART0746
746,ART0747
747,ART0748
748,ART0749
749,ART0750
