arr_observation_id,article_id,company_id,observation_date,observation_status,date_parse_status,observation_year,observation_quarter,observation_month,arr_usd,revenue_raw,source_currency,company_match_status,source_file,parse_method_version,pipeline_run_id
08db3e5f-2896-585a-9f7f-8615a01abc78,ART0002,9d4d58c5-91bd-5317-85a0-a0cd048740af,2023-02-23,DATED,PARSED,2023,1,2,310000000,"£244,094,488",GBP,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
cbe15ef8-7697-5ca4-be55-999713bcd028,ART0004,1eabfb03-492b-52d1-9f8f-afbd3e484ada,2023-12-13,DATED,PARSED,2023,4,12,980000000,$980.0M,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
d9bc48d1-eeed-549e-8d3d-b8b3fc0dff61,ART0006,a992e412-2b10-50bc-bf9c-23b7974ddb91,2021-10-26,DATED,PARSED,2021,4,10,16800000000,$16.800B,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
c62b4353-0542-55f8-bcb6-40e2df53ecad,ART0007,08256776-704b-50e0-92ce-c74e516f9c80,2022-10-19,DATED,PARSED,2022,4,10,75000000000,75000.0M USD,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
90d57585-5ccf-59fc-b39d-7ba90bbd0770,ART0009,9b997e26-b47f-511c-b401-d9b3a6ac9c4f,2023-02-07,DATED,PARSED,2023,1,2,1480000000,$1.480 billion,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
5a814389-1ddc-5765-ba4e-cc51a8e01060,ART0010,9b997e26-b47f-511c-b401-d9b3a6ac9c4f,2022-11-05,DATED,PARSED,2022,4,11,1380000001,"€1,254,545,455",EUR,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
25437e92-0651-5ab5-bcc5-f011c47186cc,ART0011,5ed089c3-b138-5004-b73c-fbfc8d07c0ca,2021-10-25,DATED,PARSED,2021,4,10,320000000,$320.0M,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
bb766593-ba93-5196-bc60-a8c57abce3bd,ART0013,771af71e-0eea-5ae0-9aff-9a0609ace44a,2023-08-23,DATED,PARSED,2023,3,8,32000000000,$32.000B,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
e1afcbe3-28a9-5c42-a1a1-659d5e5da9a6,ART0014,1eabfb03-492b-52d1-9f8f-afbd3e484ada,2020-01-15,DATED,PARSED,2020,1,1,260000000,$260.0M,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
8b373858-eb84-5da5-b6a7-faff51bbd5c6,ART0015,08256776-704b-50e0-92ce-c74e516f9c80,2020-09-27,DATED,PARSED,2020,3,9,25200000000,$25.200B,USD,MATCHED,tech_news.csv,1.0.0,57ec45a1-9a06-4385-9e42-2d255db54746
